Competency domain,Focus Areas,Resource title,URL,Platform / host,Resource type,Stated learning outcomes,Stated prerequisites,Length (mins),Indicated level,Intended audience,Format type (passive / interactive),Publication date,Last updated,Captions / transcripts,Mobile accessible,Skill area,Student journey stage,Comments
,,Probability & Statistics,https://oli.cmu.edu/courses/probability-statistics-open-free/,OLI,Online course,"By the end of this course, students will have gained an appreciation for the diverse applications of statistics and its relevance to their lives and fields of study. They will learn to:

develop strong learning strategies for Probability & Statistics, as well as other online courses.
identify sampling methods used to produce data.
create and analyze distributions of variables.
apply the rules of probability to determine the likelihood of an event.
use a sample to infer (or draw conclusions) about the population from which it was drawn.",Basic Algebra,One semester,Beginner,Designed for students with no prior knowledge in statistics,Interactive,N/A,December 2017,No,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,
,Data Science,Big Data Analytics,https://carmattu.com/video-library/big-data-analytics/,CARMA,,,,,,,,,,,,,,Not able to access course info
,,Big Data Concepts,https://carmattu.com/video-library/big-data-concepts//,CARMA,Lecture,,,,,,,,,,,,,Not able to access course info
,,Creating Datasets with Social Media,https://carmattu.com/video-library/creating-datasets-with-social-media/,CARMA,Lecture,,,,,,,,,,,,,Not able to access course info
,,Methods for Collecting and Analyzing Data from Zoom Meetings,https://carmattu.com/video-library/methods-for-collecting-and-analyzing-data-from-zoom-meetings/,CARMA,Lecture,,,,,,,,,,,,,Not able to access course info
,,Business Analysis,https://www.dataquest.io/path/business-analyst-with-power-bi/,DataQuest,Online course,"By the end of the course, the learner should be able to:
Use and apply foundational math and statistics to perform data analysis
Retrieve and manipulate data from databases using SQL
Import, prepare, analyze, and summarize data with Excel
Convey insights effectively to tell a story using Microsoft Power BI",N/A,3 months,Beginner,N/A,Interactive,N/A,N/A,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Transition to industry,
,,Data Analysis,,DataQuest,Online course,,,,,,,,,,,,,Not able to pinpoint particular course. There are multiple
,,Data Engineering,https://www.dataquest.io/path/data-engineering/,DataQuest,Online course,"Programming with Python and building complex data architecture to support organizations' data strategy
Managing distributed data processing with PySpark and orchestrating workflows with Apache Airflow
Containerizing applications with Docker and deploying them to cloud infrastructure
Building production-grade data pipelines that scale automatically and run reliably in cloud environment",N/A,4 months,Beginner,N/A,Interactive,N/A,N/A,N/A,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Transition to industry,
,,Data Science,https://www.dataquest.io/path/data-scientist/,DataQuest,Online course,"Programming with Python to perform complex statistical analysis of large datasets
Performing SQL queries and web-scraping to explore and extract data from databases and websites
Building insightful data visualizations to tell stories
Automating machine learning algorithms and build predictive modeling processes",,11 months,Beginner,N/A,Interactive,N/A,N/A,N/A,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,
,,Data 101,https://guides.library.cmu.edu/data101,CMU Libraries,Online guide,N/A,N/A,N/A,Not Stated,N/A,passive,N/A,N/A,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Analyze Qualitative Data,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=66,SAGECampus,Online course,"This course will help you to:
    Identify the types of data that generate themes and recognize why themes matter
    Effectively organize your data and decide on the best approach to transcribing it
    Evaluate the different approaches to coding and evaluate which is most suitable for analyzing your own data
    Identify meaningful data to create appropriate codes, organizing them into categories to help with data analysis
    Analyze your categories to find themes, evaluating these against the data
    Use evidence from your data to support your themes",Pre-course Self Assessment,5 Hrs,Beginner,N/A,passive,Jan 2022,May 2024,Yes,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Chart Smarter: Mastering Data Visualization,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=106,SAGECampus,Online course,"This course will help you to:
    Identify situations where the utilization of data visualization is appropriate   
    Encode data using the main visual variables
    Choose the appropriate chart that facilitates each type of comparison  
    Practice creating graphs in Excel  
    Format and style charts to make powerful visualizations",Pre-course Self Assessment,4 Hrs,Beginner,N/A,passive,March 2025,March 2025,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Cleaning Messy Data,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=72,SAGECampus,Online course,"This course will help you to:
    Recognize when data are messy and require cleaning
    Apply cleaning methods to messy datasets
    Recognize how cleaning messy data contributes to good data management
    Perform quality control of data",Pre-course Self Assessment,3 Hrs,Beginner,N/A,passive,Jan 2023,July 2025,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Collecting Social Media Data,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=13,SAGECampus,Online course,"This course will help you to:
    Understand how social media data presents challenges that differ from other types of data, particularly in relation to research ethics.
    Be empowered to effectively plan a social media data based project, including the data collection strategy, data storage and curation, and analysis.
    Gather, clean and analyze social media data using Workbench.",Pre-course Self Assessment,6 Hrs,Beginner,N/A,passive,July 2019,May 2024,N/A,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,
,,Interactive Visualization with R,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=4,SAGECampus,Online course,"This course will help you to:
    Understand the need for interactive visualizations and reports, and the associated workflow
    Produce a range of visualizations relevant to the available data
    Produce and publish a report that contains appropriate interactive visualizations to tell a story about the data",Pre-course Self Assessment,40 Hrs,Advanced,N/A,passive,Sept 2017,Sept 2024,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Introduction to Data Visualization,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=3,SAGECampus,Online course,"This course will help you to:
    Recognize the definition of data visualization as well as the capabilities and activities involved in the design process
    Increase the sophistication of your critical thinking by following the 3 principles of good design
    Formulate a brief to establish clarity about the context and vision of your data visualization task
    Gather, familiarize and prepare your understanding of the data with which you are working
    Use editorial thinking to shape what you are going to say with your data visualization
    Broaden your awareness and the potential application of the variety of data representation techniques
    Explore the value and potential application of interactivity and annotation in your data visualization design
    Identify the application of colour and composition decisions in your data visualization design",Pre-course Self Assessment,12 Hrs,Beginner,N/A,passive,March 2018,May 2024,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Introduction to Text Mining,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=10,SAGECampus,Online course,"This course will help you to:
    Define text mining and text analysis  
    Select and sample appropriate data  
    Identify the various types of lexical resources, their uses and availability   
    Differentiate between narrative, thematic, and metaphor analysis approaches
    Differentiate between text classification, opinion mining, information extraction, and topic modeling 
    Explore available data sets and software tools for key text mining techniques ",Pre-course Self Assessment,10 Hrs,Beginner,N/A,passive,Dec 2018,July 2025,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Practical Data Management with R,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=8,SAGECampus,Online course,"By the end of this course you will have gained:
    An understanding of Basic R commands and data structures for manipulating data
    The ability to read data from multiple formats in and out of R
    Proficiency using loops, conditional statements, and functions to automate common data management tasks
    Familiarity with R’s package system for extending its functionality
    The skills to clean and manage multiple complex datasets
    The ability to clean and manipulate textual data
    An understanding of basic web scraping techniques, for both standard web pages and the Twitter API
    An overview of the techniques and hardware necessary to manage large datasets efficiently",Pre-course Self Assessment,30 Hrs,Intermediate,N/A,passive,Sept 2017,June 2024,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,AI & ML,Introduction to Artificial Intelligence,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=67,SAGECampus,Online course,"This course will help you to:

    Recognize how AI is already integrated into daily life across various tools, platforms, and industries 
    Identify appropriate use cases for Gen AI across academic, creative, and professional contexts 
    Evaluate the trustworthiness of AI-generated outputs and check for bias, errors, and hallucinations 
    Reflect on the social, environmental, and labor impacts of the use and development of AI  
    Recognize the role of individuals and communities in shaping the future of AI ",Pre-course Self Assessment,3 Hrs,Beginner,N/A,passive,May 2022,July 2025,N/A,Yes,Other (Specify in the 'Comments' column),Ongoing study,Foundations in AI
,,Introduction to Artificial Intelligence (AI) Engineering,https://www.sei.cmu.edu/training/introduction-to-artificial-intelligence-ai-engineering-elearning/,Software Engineering Institute (SEI),Online course,"This course is designed to:

    Promote the fundamentals of the discipline of AI Engineering
    Showcase use cases and constraints of AI technologies
    Build awareness of the AI engineering process
    Translate cross-functional activities that occur during the AI engineering process
    Illustrate common decisions and tradeoffs
    Present design patterns and techniques","Learners should have some familiarity with AI capabilities (e.g., classification systems, natural language processing)",7 Hrs,Beginner,"- Design researchers, usability experts, AI ethicists, and risk and compliance officers
- Program managers, product managers, and executives
- Data scientists, software engineers, machine learning (ML) engineers, data engineers, and solution architects",Interactive,N/A,N/A,N/A,Yes,Other (Specify in the 'Comments' column),Pre-arrival,"Foundations in AI, Requires payment of 550 USD"
,Networking,Cyber Technology — NSC STEM Pathways,https://oli.cmu.edu/courses/cyber-technology-nsc-stem-pathways-open-free/,OLI,Online course,"By the end of this pathway, students will be able to:

Identify and configure PC hardware and software components, including storage interfaces, ports, and appropriate operating system tools.

Apply foundational networking concepts, including routing, addressing, and the purpose of gateways and network translation.

Configure and analyze network routing, including static, dynamic, default, and summarized routes in IPv4 and IPv6 environments.

Demonstrate proficiency with numbering systems, converting and applying decimal, binary, and hexadecimal values in computing and networking contexts.

Apply basic security and addressing principles, including subnet masks, subnetting, and digital certificates.

Interpret and troubleshoot network behavior using routing tables and network diagnostic tools.

Select and correctly use network connection media, including appropriate cables for device communication and configuration.",N/A,1 Year,Not Stated,Not Stated,Interactive,N/A,August 2015,No,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Transition to industry,"To access the course, the learner must sign up and create an account with their andrewID"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Cybersecurity,CERT Applied Data Science for Cybersecurity Certificate Examination,https://www.sei.cmu.edu/training/cert-applied-data-science-cybersecurity-certificate-exam/,Software Engineering Institute (SEI),Certificate program,"This examination provides an objective validation of conceptual knowledge and practical understanding of data analysis for cybersecurity from netflow, malware, and digital forensics activity, as presented in the required courses. The examination consists of 60 multiple choice questions. Students proceed through the examination at their convenience over four hours.","Before registering for this exam, participants must complete the prerequisite courses: Fundamentals of Statistics Applied to Cybersecurity, Advanced Analytics: Netflow, Advanced Analytics: Malware, and Advanced Analytics: Digital Forensics.",4 hours,Not Stated,"This validation exam is required for professionals who wish to pursue the following SEI credentials:

CERT Applied Data Science for Cybersecurity Professional Certificate Program",Interactive,N/A,,N/A,Cannot determine (no access),"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,Course Fee: $250
,,CERT Applied Data Science for Cybersecurity Certificate Package,https://www.sei.cmu.edu/training/cert-applied-data-science-cybersecurity-certificate/,Software Engineering Institute (SEI),Certificate program,,,,,,,,,,Cannot determine (no access),,,"CERT Applied Data Science for Cybersecurity Certificate Package consists of the following courses:

Fundamentals of Statistics Applied to Cybersecurity
Advanced Analytics: Netflow
Advanced Analytics: Malware
Advanced Analytics: Digital Forensics
CERT Applied Data Science for Cybersecurity Certificate Examination"
,,CERT Artificial Intelligence (AI) for Cybersecurity Professional Certificate,https://www.sei.cmu.edu/training/cert-ai-cybersecurity-professional-certificate/,Software Engineering Institute (SEI),Certificate program,"After successful completion of this course, you will understand:
AI technologies in cybersecurity
strengths, limitations, and appropriate use cases for AI
how to apply AI tools in a real-world setting
","Learners should have a basic understanding of cybersecurity, statistics, mathematics, and computer programming. Experience with Python is helpful but not required.",13 hours,Not Stated,This professional certificate program is intended for cybersecurity professionals who operate in technical roles. The course content and hands-on laboratory exercises will prepare learners to apply AI techniques to their work.,Interactive,N/A,,N/A,,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,Course Fee: $1500
,,CERT Secure Coding in C and C++ Professional Certificate,https://www.sei.cmu.edu/training/cert-secure-coding-professional-certificate/,Software Engineering Institute (SEI),Certificate program,"Students will acquire a working knowledge of common programming errors that lead to software vulnerabilities, how these errors can be exploited, and effective mitigation strategies for preventing the introduction of these errors. In particular, students will learn how to
improve the overall security of any C or C++ application
thwart buffer overflows and stack-smashing attacks that exploit insecure string manipulation logic
avoid vulnerabilities and security flaws resulting from the incorrect use of dynamic memory management functions
eliminate integer-related problems: integer overflows, sign errors, and truncation errors
correctly use formatted output functions without introducing format-string vulnerabilities
avoid I/O vulnerabilities, including race conditions
","A basic to intermediate understanding of the C and C++ programming languages
Software security knowledge or experience is not required",24 months,Not Stated,C and C++ Software Developers,Interactive,N/A,,N/A,Cannot determine (no access),"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,Fee: $1250
,,CERT Secure Coding in Java Professional Certificate,https://www.sei.cmu.edu/training/cert-secure-coding-java-professional-certificate/,Software Engineering Institute (SEI),Certificate program,"Students will acquire a working knowledge of common programming errors that lead to software vulnerabilities, how these errors can be exploited, and effective mitigation strategies for preventing the introduction of these errors. In particular, students will learn how to
improve the overall security of any Java application
avoid injection attacks, such as SQL injection and XSS
understand Java's memory model, with a thorough grounding of concurrency, and learn how to prevent race conditions while avoiding deadlock
learn when to throw and catch exceptions
avoid I/O vulnerabilities, including file-based race conditions
learn how historical exploits on Java were executed and later disabled","A basic to intermediate understanding of the Java programming language
Software security knowledge or experience is not required",24 months,Intermediate,Java Software Developers,Interactive,,,N/A,Cannot determine (no access),"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,Fee: $1250
,,Advanced Analytics: Digital Forensics,https://www.sei.cmu.edu/training/advanced-analytics-digital-forensics/,Software Engineering Institute (SEI),Online course,"After successful completion of this course, you will:
be able to identify the PRAVARA method
have an appreciation for the nuance and complexity of a digital investigation and data science as a whole
explain the relevance of deepfakes to modern data science
explain the differences between types of deepfake techniques
explain the concept of a neural network
complete tasks involving natural language processing related to insider threat analysis
complete tasks related to the deepfake detection process","Before registering for this course, participants must complete the Fundamentals of Statistics Applied to Cybersecurity course.

Learners should have some exposure to digital forensics in itself and a working knowledge of a programming language (preferably Python or R). A working knowledge of calculus and linear algebra is helpful.",6 hours,Not Stated,"Those with a particular interest in data science and cybersecurity, but limited experience with both concepts.",Interactive,,,N/A,Cannot determine (no access),"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Ongoing study,Fee: $500
,,Advanced Analytics: Malware,https://www.sei.cmu.edu/training/advanced-analytics-malware/,Software Engineering Institute (SEI),Online course,"After successful completion of this course, you will:
be able to understand the fundamentals of analyzing properties of malware captured at run time
explain and detect self-replication
be able to recognize and determine ancestry relationships in suspicious requests
explain the concept of suspicious requests and gather PID statistics
explain the differences between suspicious and benign requests
be able to understand the fundamentals of deep learning
complete tasks involving generating feature vectors and creating a train-test split
have an appreciation for deep neural networks
complete tasks involving deep learning
be able to train a deep neural network to identify malicious processes
","Before registering for this course, participants must complete the Fundamentals of Statistics Applied to Cybersecurity course.

Learners should have some exposure to malware in itself and a working knowledge of a programming language (preferably Python or R). A working knowledge of calculus and linear algebra is helpful.",5hours,Not Stated,"Those with a particular interest in data science and cybersecurity, but limited experience with both concepts.",Interactive,,,N/A,Cannot determine (no access),"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Ongoing study,Fee: $500
,,Advanced Analytics: Netflow,https://www.sei.cmu.edu/training/advanced-analytics-netflow/,Software Engineering Institute (SEI),Online course,"After successful completion of this course, you will:

be able to understand the fundamentals of Network Flow architecture
have an appreciation for flowmeters and records
explain the differences between types of malicious attacks
be able to understand network beacons
identify network beacons with flow data
connect network beacons to data science","Before registering for this course, participants must complete the Fundamentals of Statistics Applied to Cybersecurity course.
Learners should have some exposure to NetFlow in itself and a working knowledge of a programming language (preferably Python or R). A working knowledge of calculus and linear algebra is helpful.

",6 hrs,Not Stated,"Those with a particular interest in data science and cybersecurity, but limited experience with both concepts.",Interactive,,,N/A,Cannot determine (no access),,Ongoing study,
,,,,,,,,,,,,,,,,,,
,Hardware,PC Hardware,https://oli.cmu.edu/courses/pc-hardware-open-free/,OLI,Online course,,N/A,12 weeks,Beginner,"Students specifically preparing for the CompTIA A+ (Exam 220-901)
 certification and those with a general interest in learning how to build,
 troubleshoot, and maintain PC hardware",Interactive,2016,Fall 2017,N/A,Yes,Other (Specify in the 'Comments' column),,"This is a great course that can help students learn  the basic assembly, maintenance, and repair of microcomputer systems.  The skills acquired are Hardware Assembly & Maintenance: Physical installation of motherboards, CPUs, RAM, and storage devices."
,,Computer hardware video activity series,,Gelfand Center,Video series,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Software,PC Software,https://oli.cmu.edu/courses/pc-software-open-free/,OLI,Online course,"By the end of these course, students will be able to:

Describe and compare operating systems, including Windows, macOS, and Linux, based on features, requirements, and use cases.

Install and configure operating systems using appropriate methods, system settings, and licensing requirements.

Use operating system utilities and administrative tools to manage system resources, storage, users, and configurations.

Set up and maintain wired and wireless networks and apply appropriate security measures.

Apply preventative maintenance and security practices to protect systems and data.

Identify, respond to, and mitigate security threats, including malware and unauthorized access.

Configure and secure mobile devices and manage connectivity and synchronization.

Apply a structured troubleshooting process to diagnose, resolve, document, and verify technical issues",N/A,12 weeks,Beginner, students prepare for CompTIA A+ Software Exam 220-902.,Interactive,N/A,Fall 2017,N/A,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Pre-arrival,"Students would learn OS Installation & Management, System Administration & Utilities and Security & Threat Mitigation, however this course is not uptodate since last time  it has been updated is 2017."
,,Examination of Software Architecture: Principles and Practices,https://www.sei.cmu.edu/training/ software-architecture-principles-practices-elearning/,Software Engineering Institute (SEI),Online course,"Understanding of: Software architecture definitions, influence cycles, quality attributes, patterns/tactics, Attribute-Driven Design, documentation, evaluation, and Agile integration.","Experience in software-reliant systems; familiarity with modern software engineering; ownership of the Software Architecture in Practice, 4th Edition textbook.",18 hours,Beginner,"Professionals who design, develop, or manage the construction of software-reliant systems.",Interactive,N/A,N/A,Yes,Yes,,First semester,"This is a rigorous, academic-style eLearning course offered by the Software Engineering Institute (SEI) at Carnegie Mellon University. It acts as the gateway to their professional certification tracks. While it is ""Foundational,"" the requirement for prior experience in software development suggests it is intended for mid-career professionals rather than students new to programming."
,,Software Architecture Design and Analysis,https://www.sei.cmu.edu/training/software-architecture-design-analysis/,Software Engineering Institute (SEI),Online Course,,,,,,,,,,,,,
